"Razao Social (Registro ANS)";"Cobertura";"Porte";"Classificacao no Mes";"Classificacao no Mes Anterior";"Dez/20";"Nov/20";"Out/20";"Set/20";"Ago/20";"Jul/20";"Jun/20";"Mai/20";"Abr/20";"Mar/20";"Fev/20";"Jan/20";"Competencia";"Data de atualizacao"
"SEMPRE ODONTO PLANOS ODONTOLOGICOS LTDA (414654)";"Odontológica";"Grande";"19";"11";"0.00";"   0.19";"   0.19";"   0.29";"   0.20";"   0.29";"   0.09";"   0.09";"0.00";"0.00";"0.00";"   0.16";"202003";"15/01/2021 07:40:34"
"PREVIDENT ASSISTÊNCIA ODONTOLÓGICA S.A (374440)";"Odontológica";"Médio";"1";"1";"   1.79";"   1.60";"   2.23";"   1.89";"   1.64";"   1.05";"   1.05";"   1.04";"   1.56";"   1.79";"   1.46";"   1.27";"202003";"15/01/2021 07:40:34"
"DENTAL MASTER LTDA - EPP (413747)";"Odontológica";"Médio";"2";"3";"   1.38";"   0.95";"   0.97";"   0.49";"0.00";"   0.50";"   1.47";"   1.44";"   0.94";"   1.38";"   1.37";"   2.26";"202003";"15/01/2021 07:40:34"
"ZURICH SANTANDER BRASIL ODONTO LTDA. (419354)";"Odontológica";"Médio";"3";"5";"   1.11";"   0.46";"   0.69";"   0.91";"   1.59";"   1.62";"   1.64";"   0.93";"   0.91";"   1.11";"   1.56";"   1.34";"202003";"15/01/2021 07:40:34"
"PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME (417106)";"Odontológica";"Médio";"4";"6";"   0.69";"   0.38";"   0.37";"   0.37";"0.00";"   0.37";"   0.36";"   0.36";"0.00";"   0.69";"   0.68";"   0.67";"202003";"15/01/2021 07:40:34"
"SORRIDEN CONVÊNIOS ODONTOLÓGICOS S.A. (419524)";"Odontológica";"Médio";"5";"21";"   0.55";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   0.29";"   0.56";"   0.55";"   0.28";"   0.29";"202003";"15/01/2021 07:40:34"
"ODONTOGROUP SISTEMA DE SAÚDE LTDA. (389854)";"Odontológica";"Médio";"6";"19";"   0.44";"   0.11";"   0.23";"   0.46";"   0.57";"   0.46";"   0.11";"0.00";"   0.33";"   0.44";"   0.55";"   0.44";"202003";"15/01/2021 07:40:34"
"UNIODONTO DE SC COOPERATIVA ADMINISTRADORA DE CONTRATOS (342203)";"Odontológica";"Médio";"7";"21";"   0.43";"0.00";"0.00";"0.00";"   0.14";"   0.14";"   0.14";"   0.14";"   0.14";"   0.43";"   0.29";"   0.29";"202003";"15/01/2021 07:40:34"
"AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP (413283)";"Odontológica";"Médio";"8";"21";"   0.22";"0.00";"   0.21";"   0.43";"   0.66";"   0.43";"   0.21";"0.00";"   0.22";"   0.22";"   0.45";"   0.23";"202003";"15/01/2021 07:40:34"
"UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS (314315)";"Odontológica";"Médio";"9";"9";"   0.16";"   0.31";"   0.16";"   0.32";"   0.32";"   0.32";"   0.32";"   0.32";"   0.49";"   0.16";"   0.35";"   0.19";"202003";"15/01/2021 07:40:34"
"SERVDONTO - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA ME. (414701)";"Odontológica";"Médio";"10";"17";"   0.15";"   0.15";"   0.15";"   0.15";"   0.16";"   0.16";"   0.31";"   0.31";"   0.30";"   0.15";"   0.31";"   0.31";"202003";"15/01/2021 07:40:34"
"UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA (344451)";"Odontológica";"Médio";"11";"18";"   0.12";"   0.12";"   0.12";"   0.25";"   0.12";"   0.12";"0.00";"   0.12";"   0.12";"   0.12";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA (335258)";"Odontológica";"Médio";"12";"12";"   0.11";"   0.22";"   0.11";"   0.22";"   0.11";"   0.11";"0.00";"   0.11";"   0.11";"   0.11";"   0.12";"   0.35";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO BENEFICENTE FNV (415049)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"PLANO DE SAUDE UNIFENAS (344010)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"";"";"";"";"  72.64";"  36.14";"  24.01";"0.00";"  11.91";"  11.90";"202003";"15/01/2021 07:40:34"
"EMPRESA GERENCIAL DE PROJETOS NAVAIS (410322)";"Médico Hospitalar";"Pequeno";"206";"6";"0.00";" 121.95";"  21.51";"  11.40";"   5.16";"   2.56";"   5.11";"   2.54";"   2.53";"0.00";"0.00";"   2.49";"202003";"15/01/2021 07:40:34"
"ITAIPU BINACIONAL (366234)";"Médico Hospitalar";"Pequeno";"206";"128";"0.00";"   1.34";"   1.34";"   1.34";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA (404241)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"MED LIFE SAUDE ATA LTDA (419656)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL (421618)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO (367613)";"Médico Hospitalar";"Pequeno";"206";"82";"0.00";"   3.47";"   2.31";"   1.15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"OPERADORA DE PLANOS DE SAÚDE SERRA IMPERIAL LTDA. (409235)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB (334189)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"   1.07";"   2.15";"   2.15";"   1.08";"0.00";"0.00";"0.00";"0.00";"0.00";"   0.99";"202003";"15/01/2021 07:40:34"
"ELETROSUL CENTRAIS ELÉTRICAS S/A (356891)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIACAO DE SAUDE HOLAMBRA (360783)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"2CARE OPERADORA DE SAÚDE LTDA. (421421)";"Médico Hospitalar";"Pequeno";"206";"142";"0.00";"   1.03";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"";"202003";"15/01/2021 07:40:34"
"UNIMED DE VOTUPORANGA - COOPERATIVA DE TRABALHO MÉDICO (328073)";"Médico Hospitalar";"Pequeno";"206";"140";"0.00";"   1.07";"   1.08";"   1.09";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.12";"   1.13";"202003";"15/01/2021 07:40:34"
"CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA (415910)";"Médico Hospitalar";"Pequeno";"206";"29";"0.00";"  14.64";"  29.28";"  29.25";"  14.58";"0.00";"0.00";"0.00";"0.00";"0.00";"  42.35";"  41.94";"202003";"15/01/2021 07:40:34"
"ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA (409634)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"PORTO DIAS SAUDE LTDA. (415081)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS (333875)";"Médico Hospitalar";"Pequeno";"206";"146";"0.00";"   1.04";"   2.08";"   2.09";"   1.05";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.06";"   1.06";"202003";"15/01/2021 07:40:34"
"FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC (414689)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"  11.85";"202003";"15/01/2021 07:40:34"
"UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA (352519)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA (337561)";"Médico Hospitalar";"Pequeno";"206";"99";"0.00";"   2.43";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"DANA INDUSTRIAS LTDA. (416118)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"AMAZÔNIA PLANOS DE SAÚDE LTDA (419052)";"Médico Hospitalar";"Pequeno";"206";"64";"0.00";"   4.82";"   6.83";"  10.97";"  10.11";"  12.30";"   9.31";"   6.41";"   2.20";"0.00";"0.00";"   1.17";"202003";"15/01/2021 07:40:34"
"AMAZONAS DISTRIBUIDORA DE ENERGIA S/A (416894)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA (315494)";"Médico Hospitalar";"Pequeno";"206";"155";"0.00";"   0.97";"   0.97";"   2.93";"   1.95";"   2.94";"   2.00";"   2.04";"   1.04";"0.00";"   1.03";"   1.01";"202003";"15/01/2021 07:40:34"
"FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL (420701)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO (333808)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"   0.82";"   0.82";"   0.81";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED CAJAZEIRAS - SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO (344141)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"  16.43";"  16.48";"  16.50";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"BENEFICÊNCIA SOCIAL BOM SAMARITANO (421189)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"  55.76";"202003";"15/01/2021 07:40:34"
"ECO SAÚDE PLANO EMPRESARIAL LTDA - EPP (420069)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED CAÇADOR COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO DO CONTESTADO (346951)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"   0.74";"   1.48";"   1.48";"   0.74";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825)";"Médico Hospitalar";"Pequeno";"206";"35";"0.00";"  11.44";"  15.22";"  15.21";"   7.60";"0.00";"   3.80";"   3.80";"   3.78";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO (353876)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   0.77";"   0.78";"   0.79";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO (324523)";"Médico Hospitalar";"Pequeno";"206";"34";"0.00";"  12.83";"  19.31";"  12.94";"   6.47";"0.00";"   6.45";"   6.44";"   6.41";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND (413518)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED DE FERNANDOPOLIS - COOPERATIVA DE TRABALHO MÉDICO (326089)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.48";"   1.48";"   1.48";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED DE ANDRADINA - COOPERATIVA DE TRABALHO MÉDICO (303844)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110)";"Médico Hospitalar";"Pequeno";"206";"104";"0.00";"   2.09";"   2.09";"   1.04";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO (418129)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA (313084)";"Médico Hospitalar";"Pequeno";"206";"160";"0.00";"   0.82";"   0.82";"   0.82";"0.00";"   1.65";"   1.65";"   1.65";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS (357138)";"Médico Hospitalar";"Pequeno";"206";"9";"0.00";"  74.91";"  37.08";"  73.44";"  36.28";"  36.01";"0.00";"0.00";"0.00";"0.00";"0.00";"  35.29";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL (420000)";"Médico Hospitalar";"Pequeno";"206";"101";"0.00";"   2.28";"   2.30";"   3.87";"   4.72";"   4.06";"   3.33";"   1.70";"   0.85";"0.00";"0.00";"   3.55";"202003";"15/01/2021 07:40:34"
"ARAÇA PLANOS DE SAÚDE LTDA. (407704)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"HOSPITAL CÉSAR LEITE (314706)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"   1.07";"   1.07";"   1.08";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO (327352)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"   1.47";"   2.97";"   2.98";"   4.49";"   2.99";"   3.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"HOSPITAL DE PRONTOCLINICA LTDA. (341941)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557)";"Médico Hospitalar";"Pequeno";"206";"162";"0.00";"   0.78";"   0.78";"   1.56";"   0.78";"   0.78";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO (420123)";"Médico Hospitalar";"Pequeno";"206";"44";"0.00";"   8.23";"   8.22";"   4.12";"   4.13";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"MINERAÇÃO CARAÍBA S/A (416703)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"MAPFRE SAÚDE LTDA (418951)";"Médico Hospitalar";"Pequeno";"206";"172";"0.00";"   0.63";"   0.63";"   0.62";"0.00";"   0.62";"   1.23";"   1.22";"   0.61";"0.00";"0.00";"   0.49";"202003";"15/01/2021 07:40:34"
"MEDHEALTH PLANOS DE SAÚDE LTDA (421367)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"   4.22";"   4.33";"   4.69";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇAO UNISAUDE MARAU (333867)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"   2.25";"   2.25";"   2.24";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME (344184)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"POLICON ASSISTENCIA MÉDICA LTDA - EPP (412228)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"SANTA CASA DE MISERICÓRDIA DE TUPÃ (306045)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MÉDICO (365238)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"   0.82";"   0.82";"   0.83";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"RBS PARTICIPAÇÕES S/A (418862)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS (344915)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA. (406805)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"   2.64";"   2.64";"   2.65";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"CENTRAIS ELÉTRICAS DE RONDÔNIA S/A - CERON (304697)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO (344788)";"Médico Hospitalar";"Pequeno";"206";"89";"0.00";"   2.96";"   2.99";"   6.06";"   6.17";"   6.30";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"   4.37";"   4.35";"   4.33";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"FILOSANITAS SAUDE LTDA (410888)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO (313475)";"Médico Hospitalar";"Pequeno";"206";"15";"0.00";"  28.14";"  27.57";"  20.25";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   6.58";"   6.46";"202003";"15/01/2021 07:40:34"
"UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO (385620)";"Médico Hospitalar";"Pequeno";"206";"123";"0.00";"   1.45";"   1.49";"   2.98";"   1.48";"   4.30";"   2.86";"   2.86";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO POLICIAL ASSISTENCIAL (407097)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"RORAIMA ENERGIA S/A (416983)";"Médico Hospitalar";"Pequeno";"206";"";"0.00";"";"";"0.00";"0.00";"  20.16";"  20.12";"  16.31";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"ALCANCE SAÚDE EIRELI (416975)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"   2.35";"   2.36";"   2.38";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"CELULOSE NIPO-BRASILEIRA S/A - CENIBRA (339270)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA (410624)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE (329665)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABALHO MÉDICO (314242)";"Médico Hospitalar";"Pequeno";"206";"133";"0.00";"   1.20";"0.00";"0.00";"0.00";"   1.21";"   1.21";"   1.20";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"UNIMED DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO (342386)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.55";"   2.99";"   2.89";"   1.40";"0.00";"   2.92";"   3.02";"202003";"15/01/2021 07:40:34"
"ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI (408522)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202003";"15/01/2021 07:40:34"
"OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA (418226)";"Médico Hospitalar";"Pequeno";"206";"182";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   4.67";"   4.55";"202003";"15/01/2021 07:40:34"
